PL	Customer Code	Order Number	Order Entry Date	Customer Wish Date	Confirmed Delivery Date	Requested Order Lead Time (in d)	Confirmed Order Lead Time (in d)	Agreed Liability (in w)	Order quantity	Product Information (Basic_Type)	Sales product
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	2000	BT6	SP14
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	1000	BT6	SP14
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	11000	BT6	SP14
67	C166	1113948000	12.2017	12.2018	12.2018	350	350	(blank)	47000	BT6	SP14
67	C109	1114664119	5.2018	5.2019	5.2019	350	350	52	2500	BT62	SP393
67	C18	1114933936	6.2018	7.2019	7.2019	350	350	39	7500	BT96	SP512
67	C18	1114977202	7.2018	7.2019	7.2019	350	357	26	15000	BT66	SP147
67	C8	1115186361	9.2018	9.2019	9.2019	350	354	(blank)	3800	BT92	SP310
67	C113	1115408735	12.2018	12.2019	12.2019	350	350	98	22500	BT11	SP29
67	C106	1115510272	1.2019	2.2020	2.2020	350	350	15	6000	BT31	SP357
67	C8	1112443974	2.2017	3.2018	3.2018	350	351	26	7500	BT89	SP97
67	C8	1112446845	2.2017	3.2018	3.2018	350	350	4	6525	BT41	SP486
67	C8	1112447460	2.2017	3.2018	3.2018	350	351	14	95	BT62	SP185
67	C8	1112447460	2.2017	3.2018	3.2018	350	351	14	285	BT62	SP185
67	C8	1112447460	2.2017	3.2018	3.2018	350	351	14	95	BT62	SP185
67	C8	1112447460	2.2017	3.2018	3.2018	350	351	14	95	BT62	SP185
67	C8	1112447460	2.2017	3.2018	3.2018	350	351	14	95	BT62	SP185
67	C158	1112852063	5.2017	5.2018	5.2018	350	350	4	2500	BT48	SP269
